TIC_ID,dist,dist_e,Gmag0,Gmag0_e,BmV0,BmV0_e,VmG0,VmG0_e,GmT0,GmT0_e,EBV,EBV_e,blend,blend_e,TIC_Gmag,TIC_Teff,TIC_Teff_e,TIC_rad,TIC_rad_e,TIC_mass,TIC_mass_e,flags
202956464,585.449,53.442,9.465042224,0.0258535982570027,-0.0559807999999999,0.0467617733267516,-0.0092827040000004,0.0498302973717797,-0.0564173279999985,0.0083110357976661,0.0429808,0.00527505,0.1380275576127619,0.1930535972803534,9.58195,10212.0,161.236,2.47692,0.237246,2.62,0.334039,[]
462940910,219.661,219.661,6.914909999999999,2.7655741174150443,-0.8100000000000005,1.1191143820003386,-0.2469099999999989,0.7937355976116984,-0.4538900000000011,0.6600274228515055,1.0,1.0,0.0977501441435913,0.0784347519752318,9.63491,9326.0,,2.33639,,,,['GUESS_EBV']
286324138,1235.57,52.6,10.82294848,0.2787581928361884,-0.2451659999999991,0.5065904539710184,0.0350369199999986,0.2890344993422065,0.0317904400000015,0.0296550744176949,0.535166,0.02872675,0.2007735045316964,0.225628873013547,12.2786,8829.0,321.091,3.34278,0.16603,2.22,0.316105,[]
326374705,853.906,31.2735,8.358484240000001,0.0842140803172368,-0.0319580000000001,0.5337742693566636,-0.00655404,0.1128371304004138,0.0065177200000011,0.0233247374331661,0.121958,0.0213432,0.0416259808369375,0.0418638280260335,8.69021,9166.0,148.0,6.83606,,,,[]
431952504,386.481,5.9235,9.772919264,0.0933324300463554,0.4013012000000004,0.1043854161112557,0.1685144559999994,0.1162520011714206,0.3290187919999998,0.0204219661581938,0.0946988,0.0295694,0.0752569124682698,0.0561409737302434,10.0305,6435.0,174.626,2.94917,0.135226,1.301,0.211793,[]
458109285,848.523,29.258,9.88203696,0.1185768400847164,-0.0298320000000002,0.1570736491052525,0.0198838400000005,0.1337470216191747,-0.0748491200000006,0.0122977665598979,0.225832,0.0133082,0.294488617581738,0.1500494473651276,10.4963,10609.0,325.329,2.84289,0.106221,2.75,0.370728,[]
51243999,981.113,39.7755,9.659764496,0.0222852573838064,-0.0738806999999988,0.053378762932823,0.0429053339999998,0.0518434280996395,-0.0809612619999994,0.0092882169755524,0.0268807,0.006530645,0.1155148973812635,0.0836195007150613,9.73288,10790.0,220.862,3.57747,0.159558,2.8,0.36628,[]
431305729,340.294,7.631,8.808899712,0.0593310845601447,0.0212021000000001,0.042181285180901,0.0111267979999999,0.0904431949408163,0.0106033859999996,0.014621749707316,0.0457979,0.0201221,0.0284884869151162,0.0324093793587618,8.93347,9109.0,254.808,2.23247,0.0765428,2.305,0.320381,[]
13951387,2569.89,230.21,8.52789632,0.3836269718148162,-0.2949940000000006,0.3813830210850013,-0.1514777200000004,0.3840625041695688,-0.1605560399999988,0.055993631655118,0.715994,0.05068685,0.1410957385499601,0.1091514986045244,10.4754,14464.0,129.0,,,,,[]
396201191,1089.51,83.18,8.05531936,0.352486697556415,-0.0844120000000004,0.3861322068415461,-0.0672965599999996,0.360123212699487,-0.0684119199999995,0.0211963614357483,0.697412,0.01892635,0.0468143331215781,0.0419250207625458,9.95228,10450.0,131.0,8.60572,,,,[]
